,Close
2021-08-17,281.2679138183594
2021-08-18,279.5467529296875
2021-08-19,285.3544006347656
2021-08-20,292.6524963378906
2021-08-23,292.9312438964844
2021-08-24,290.9794006347656
2021-08-25,290.392822265625
2021-08-26,287.5851745605469
2021-08-27,288.1909484863281
2021-08-30,291.9120178222656
2021-08-31,290.2679138183594
2021-09-01,290.2198791503906
2021-09-02,289.5659484863281
2021-09-03,289.5563659667969
2021-09-07,288.6333312988281
2021-09-08,288.6620788574219
2021-09-09,285.8159484863281
2021-09-10,284.335205078125
2021-09-13,285.56597900390625
2021-09-14,288.2583312988281
2021-09-15,293.09478759765625
2021-09-16,293.4794006347656
2021-09-17,288.33526611328125
2021-09-20,282.9795227050781
2021-09-21,283.4602355957031
2021-09-22,287.09478759765625
2021-09-23,288.0371398925781
2021-09-24,287.835205078125
2021-09-27,282.8544616699219
2021-09-28,272.6140441894531
2021-09-29,273.07568359375
2021-09-30,271.07568359375
2021-10-01,277.9794616699219
2021-10-04,272.2198791503906
2021-10-05,277.6524963378906
2021-10-06,281.83526611328125
2021-10-07,283.50830078125
2021-10-08,283.50830078125
2021-10-11,282.9121398925781
2021-10-12,281.6139831542969
2021-10-13,284.9121398925781
2021-10-14,291.1043701171875
2021-10-15,292.50823974609375
2021-10-18,295.4698486328125
2021-10-19,296.3735656738281
2021-10-20,295.58514404296875
2021-10-21,298.8063049316406
2021-10-22,297.267822265625
2021-10-25,296.2774963378906
2021-10-26,298.1812438964844
2021-10-27,310.7388916015625
2021-10-28,311.8735046386719
2021-10-29,318.8638610839844
2021-11-01,316.700439453125
2021-11-02,320.3158264160156
2021-11-03,321.15228271484375
2021-11-04,323.49847412109375
2021-11-05,323.133056640625
2021-11-08,324.02734375
2021-11-09,323.0273132324219
2021-11-10,318.07550048828125
2021-11-11,319.6427307128906
2021-11-12,323.7677001953125
2021-11-15,323.14276123046875
2021-11-16,326.4504089355469
2021-11-17,326.6719665527344
2021-11-18,328.7430725097656
2021-11-19,330.5155029296875
2021-11-22,327.35589599609375
2021-11-23,325.28485107421875
2021-11-24,325.5063781738281
2021-11-26,317.57843017578125
2021-11-29,324.2733459472656
2021-11-30,318.4551086425781
2021-12-01,317.9637756347656
2021-12-02,317.3954162597656
2021-12-03,311.1533203125
2021-12-06,314.2165832519531
2021-12-07,322.62615966796875
2021-12-08,322.67425537109375
2021-12-09,320.8729248046875
2021-12-10,329.9664001464844
2021-12-13,326.94171142578125
2021-12-14,316.2877197265625
2021-12-15,322.3659973144531
2021-12-16,312.97393798828125
2021-12-17,311.91424560546875
2021-12-20,308.1671447753906
2021-12-21,315.2762451171875
2021-12-22,320.96923828125
2021-12-23,322.404541015625
2021-12-27,329.8797607421875
2021-12-28,328.7237854003906
2021-12-29,329.3980712890625
2021-12-30,326.8646240234375
2021-12-31,323.9747314453125
2022-01-03,322.4624328613281
2022-01-04,316.93304443359375
2022-01-05,304.76666259765625
2022-01-06,302.35845947265625
2022-01-07,302.5125732421875
2022-01-10,302.7341003417969
2022-01-11,303.4180908203125
