,Close
2023-10-19,116.05999755859375
2023-10-20,113.9000015258789
2023-10-23,113.52999877929688
2023-10-24,114.29000091552734
2023-10-25,113.69999694824219
2023-10-26,112.4800033569336
2023-10-27,111.79000091552734
2023-10-30,111.5999984741211
2023-10-31,112.58999633789062
2023-11-01,114.2300033569336
2023-11-02,115.69000244140624
2023-11-03,116.0999984741211
2023-11-06,116.19000244140625
2023-11-07,117.3499984741211
2023-11-08,117.02999877929688
2023-11-09,117.08999633789062
2023-11-10,117.26000213623047
2023-11-13,118.01000213623047
2023-11-14,118.68000030517578
2023-11-15,118.94999694824219
2023-11-16,118.41000366210938
2023-11-17,118.36000061035156
2023-11-20,118.43000030517578
2023-11-21,118.51000213623047
2023-11-22,119.8000030517578
2023-11-23,119.56999969482422
2023-11-24,119.01000213623047
2023-11-27,119.0199966430664
2023-11-28,118.63999938964844
2023-11-29,118.80000305175781
2023-11-30,119.16000366210938
2023-12-01,120.5
2023-12-04,120.08000183105469
2023-12-05,120.94000244140625
2023-12-06,121.1999969482422
2023-12-07,121.25
2023-12-08,122.08000183105469
2023-12-11,122.26000213623047
2023-12-12,122.30999755859376
2023-12-13,122.9000015258789
2023-12-14,122.37999725341797
2023-12-15,123.41000366210938
2023-12-18,123.66999816894531
2023-12-19,123.63999938964844
2023-12-20,124.13999938964844
2023-12-21,122.80000305175781
2023-12-22,123.3000030517578
2023-12-27,122.37000274658205
2023-12-28,123.30999755859375
2023-12-29,122.81999969482422
2024-01-02,123.58000183105467
2024-01-03,123.2699966430664
2024-01-04,122.95999908447266
2024-01-05,122.54000091552734
2024-01-08,122.79000091552734
2024-01-09,124.16000366210938
2024-01-10,124.18000030517578
2024-01-11,123.88999938964844
2024-01-12,124.44000244140625
2024-01-15,124.69999694824219
2024-01-16,125.36000061035156
2024-01-17,124.83000183105467
2024-01-18,125.2699966430664
2024-01-19,126.13999938964844
2024-01-22,127.43000030517578
2024-01-23,127.80000305175781
2024-01-24,128.44000244140625
2024-01-25,129.14999389648438
2024-01-26,128.97000122070312
2024-01-29,129.41000366210938
2024-01-30,129.8300018310547
2024-01-31,128.5
2024-02-01,128.1699981689453
2024-02-02,130.5
2024-02-05,130.91000366210938
2024-02-06,131.22999572753906
2024-02-07,131.94000244140625
2024-02-08,132.0399932861328
2024-02-09,132.60000610351562
2024-02-12,133.49000549316406
2024-02-13,132.25999450683594
2024-02-14,132.19000244140625
2024-02-15,132.49000549316406
2024-02-16,132.9600067138672
2024-02-19,132.47999572753906
2024-02-20,130.8300018310547
2024-02-21,130.75999450683594
2024-02-22,133.42999267578125
2024-02-23,134.1199951171875
2024-02-26,133.52999877929688
2024-02-27,133.0
2024-02-28,133.3699951171875
2024-02-29,133.83999633789062
2024-03-01,134.47999572753906
2024-03-04,134.4199981689453
2024-03-05,133.1300048828125
2024-03-06,133.38999938964844
2024-03-07,133.8300018310547
2024-03-08,134.02000427246094
2024-03-11,133.25
2024-03-12,134.60000610351562
2024-03-13,134.5500030517578
2024-03-14,134.8699951171875
2024-03-15,133.91000366210938
2024-03-18,135.6199951171875
2024-03-19,135.61000061035156
2024-03-20,136.0
2024-03-21,138.0399932861328
2024-03-22,138.1699981689453
2024-03-25,137.6300048828125
2024-03-26,137.92999267578125
2024-03-27,137.69000244140625
2024-03-28,138.7899932861328
2024-04-02,137.82000732421875
2024-04-03,137.6999969482422
2024-04-04,137.61000061035156
2024-04-05,136.6300048828125
2024-04-08,136.8800048828125
2024-04-09,135.94000244140625
2024-04-10,136.9600067138672
2024-04-11,137.33999633789062
2024-04-12,138.16000366210938
2024-04-15,138.0800018310547
2024-04-16,135.91000366210938
2024-04-17,135.00999450683594
2024-04-18,135.00999450683594
2024-04-19,133.49000549316406
2024-04-22,133.27000427246094
2024-04-23,134.85000610351562
2024-04-24,135.05999755859375
2024-04-25,133.72000122070312
2024-04-26,136.75
2024-04-29,136.83999633789062
2024-04-30,136.39999389648438
2024-05-02,135.0
2024-05-03,135.9199981689453
2024-05-06,137.02000427246094
2024-05-07,137.9499969482422
2024-05-08,137.86000061035156
2024-05-09,138.07000732421875
2024-05-10,138.5
2024-05-13,138.41000366210938
2024-05-14,138.38999938964844
2024-05-15,139.57000732421875
2024-05-16,140.3300018310547
2024-05-17,139.77999877929688
2024-05-20,140.67999267578125
2024-05-21,140.75
2024-05-22,140.92999267578125
2024-05-23,141.25
2024-05-24,140.77999877929688
2024-05-27,140.8800048828125
2024-05-28,140.6699981689453
2024-05-29,140.5
2024-05-30,139.83999633789062
2024-05-31,138.63999938964844
2024-06-03,139.8800048828125
2024-06-04,139.8699951171875
2024-06-05,141.6199951171875
2024-06-06,142.00999450683594
2024-06-07,143.08999633789062
2024-06-10,143.67999267578125
2024-06-11,143.9600067138672
2024-06-12,144.99000549316406
2024-06-13,145.57000732421875
2024-06-14,146.61000061035156
2024-06-17,146.97000122070312
2024-06-18,147.58999633789062
2024-06-19,148.11000061035156
2024-06-20,148.52000427246094
2024-06-21,147.92999267578125
2024-06-24,147.67999267578125
2024-06-25,147.50999450683594
2024-06-26,147.8000030517578
2024-06-27,147.67999267578125
2024-06-28,148.2100067138672
2024-07-01,147.27999877929688
2024-07-02,147.4499969482422
2024-07-03,147.8699951171875
2024-07-04,148.02000427246094
2024-07-05,148.2899932861328
2024-07-08,148.91000366210938
2024-07-09,149.5500030517578
2024-07-10,150.02000427246094
2024-07-11,149.24000549316406
2024-07-12,149.97999572753906
2024-07-15,150.52000427246094
2024-07-16,150.88999938964844
2024-07-17,148.77000427246094
2024-07-18,147.8699951171875
2024-07-19,147.02999877929688
2024-07-22,147.69000244140625
2024-07-23,149.22999572753906
2024-07-24,145.75
2024-07-25,145.2899932861328
2024-07-26,145.1199951171875
2024-07-29,145.77999877929688
2024-07-30,145.3000030517578
2024-07-31,147.52999877929688
2024-08-01,146.38999938964844
2024-08-02,140.67999267578125
2024-08-05,137.25
2024-08-06,138.52999877929688
2024-08-07,140.05999755859375
2024-08-08,140.13999938964844
2024-08-09,140.5399932861328
2024-08-12,141.07000732421875
2024-08-13,142.55999755859375
2024-08-14,142.61000061035156
2024-08-16,145.75
2024-08-19,145.94000244140625
2024-08-20,145.8000030517578
