,Close
2024-12-27,199.0538330078125
2024-12-30,197.21559143066406
2024-12-31,196.32847595214844
2025-01-02,194.62416076660156
2025-01-03,193.77696228027344
2025-01-06,194.0116729736328
2025-01-07,189.51918029785156
2025-01-08,192.5349884033203
2025-01-10,187.28460693359375
2025-01-13,188.24681091308594
2025-01-14,188.8359832763672
2025-01-15,190.8445281982422
2025-01-16,192.24179077148438
2025-01-17,194.683837890625
2025-01-21,185.1847686767578
2025-01-22,182.52932739257812
2025-01-23,190.39010620117188
2025-01-24,188.28591918945312
2025-01-27,184.74810791015625
2025-01-28,185.11642456054688
2025-01-29,186.5856170654297
2025-01-30,188.65895080566406
2025-01-31,187.20596313476562
2025-02-03,185.44122314453125
2025-02-04,184.8895721435547
2025-02-05,185.69766235351562
2025-02-06,188.8715362548828
2025-02-07,193.1296844482422
2025-02-10,194.15748596191406
2025-02-11,193.51893615722656
2025-02-12,198.29197692871094
2025-02-13,197.92013549804688
2025-02-14,199.33082580566406
2025-02-18,203.1827850341797
2025-02-19,201.9467315673828
2025-02-20,198.29669189453125
2025-02-21,197.2064971923828
2025-02-24,199.51576232910156
2025-02-25,198.91317749023438
2025-02-26,198.94161987304688
2025-02-27,194.34124755859375
2025-02-28,198.208984375
2025-03-03,195.44845581054688
2025-03-04,193.56161499023438
2025-03-05,194.31475830078125
2025-03-06,185.5625457763672
2025-03-07,185.0481719970703
2025-03-10,176.24395751953125
2025-03-11,172.3785858154297
2025-03-12,174.2439422607422
2025-03-13,170.0815887451172
2025-03-14,176.8161163330078
2025-03-17,180.6929931640625
2025-03-18,177.05487060546875
2025-03-19,181.82147216796875
2025-03-20,181.70823669433594
2025-03-21,182.8260498046875
2025-03-24,186.4871063232422
2025-03-25,189.18714904785156
2025-03-26,188.64271545410156
2025-03-27,188.19290161132812
2025-03-28,183.49838256835938
2025-03-31,182.41619873046875
2025-04-01,185.53797912597656
2025-04-02,185.6785430908203
2025-04-03,176.2241668701172
2025-04-04,169.6309814453125
2025-04-07,168.07327270507812
2025-04-08,164.88458251953125
2025-04-09,182.78880310058594
2025-04-10,177.97076416015625
2025-04-11,181.60922241210938
2025-04-14,180.4336395263672
2025-04-15,182.63519287109375
2025-04-16,179.8000946044922
2025-04-17,181.08578491210938
2025-04-21,175.71337890625
2025-04-22,182.06658935546875
2025-04-23,187.33090209960938
2025-04-24,191.1693572998047
2025-04-25,191.58392333984375
2025-04-28,193.62353515625
2025-04-29,194.38694763183594
2025-04-30,201.91221618652344
2025-05-01,201.99734497070312
2025-05-02,206.01121520996094
2025-05-05,205.54872131347656
